Year;Period;State;State ISO;Varroa mites;Other pests and parasites;Diseases ;Pesticides;Other*;Unknown
2016;april-june;Kansas;KS;62.6;15.4;3.7;11;4.9;2.4
2016;april-june;Kentucky;KY;31.1;28.9;1.4;22.7;12.8;3
2016;april-june;Louisiana;LA;86.6;4.6;0;1.3;5;2.5
2016;april-june;Massachusetts;MA;53.1;13.9;0.4;13.9;3;15.6
2016;april-june;Maryland;MD;26.8;14.6;15.3;18.5;21;3.8
2016;april-june;Maine;ME;55.7;0;2.9;21;1.6;18.8
2016;april-june;Michigan;MI;57.6;9.9;1.2;17.6;12.6;1.2
2016;april-june;Minnesota;MN;30.7;8.9;9.6;26.9;12.7;11.2
2016;april-june;Missouri;MO;76.8;7.1;3.1;0.4;7.1;5.4
2016;april-june;Mississippi;MS;62.1;11.6;6.1;13.6;6.1;0.5
2016;april-june;Montana;MT;57.3;13.4;8.5;7.4;13;0.4
2016;april-june;North Carolina;NC;31.6;14.3;2.9;20.6;5.1;25.5
2016;april-june;North Dakota;ND;60.2;13.8;7.8;4.1;13.4;0.7
2016;april-june;Nebraska;NE;39.1;0.6;6.4;24.4;7.1;22.4
2016;april-june;New Mexico;NM;71.9;0.4;14.7;3;10;0
2016;april-june;New Jersey;NY;88.1;6.7;1.5;0;1.5;2.2
2016;april-june;New York;NY;46.4;7;2;26.6;9.3;8.6
2016;april-june;Ohio;OH;29.4;6.1;1.7;50.8;8.1;3.9
2016;april-june;Oklahoma;OK;90.9;4.9;0.4;2.1;1.1;0.7
2016;april-june;Oregon;OR;51.5;14.2;9.7;2.5;16.3;5.9
2016;april-june;Pennsylvania;PA;54.8;11.4;7;10.6;13.5;2.6
2016;april-june;South Carolina;SC;36.6;26.1;0.7;25.5;10.2;0.9
2016;april-june;South Dakota;SD;52.9;10.8;2.8;8.3;25.1;0.2
2016;april-june;Tennessee;TN;54;29.9;0.1;0.5;12;3.4
2016;april-june;United States;TO;49.4;15.1;8.8;11.5;11.4;3.8
2016;april-june;Texas;TX;46.5;16;13.4;4.3;13.2;6.6
2016;april-june;Utah;UT;63.2;0.3;4.9;20.1;9.3;2.2
2016;april-june;Virginia;VA;45.9;8.3;13.5;11.9;14.5;5.8
2016;april-june;Vermont;VT;81.3;3.1;3.1;0;9.4;3.1
2016;april-june;Washington;WA;58.1;16.2;4.7;4.4;15.8;0.9
2016;april-june;Wisconsin;WI;30;4.7;16.4;16.2;19.1;13.5
2016;april-june;West Virginia;WV;49.6;2;10.4;0;36.3;1.7
2016;april-june;Wyoming;WY;48;17.6;8.1;4.1;16.9;5.4
2017;april-june;Arkansas;AK;48.5;24;4.8;9.8;6.8;6.3
2017;april-june;Alabama;AL;35.5;27;0;8.3;18.7;10.5
2017;april-june;Arizona;AZ;45.8;12.5;15.5;9.7;16;0.5
2017;april-june;California;CA;54.3;11;4.4;18.6;6.9;4.9
2017;april-june;Colorado;CO;69.1;1.8;11.7;7.1;10.2;0.2
2017;april-june;Connecticut;CT;73.4;1.6;0;4;15.3;5.6
2017;april-june;Florida;FL;39.9;15.8;6.7;9.8;7.1;20.7
2017;april-june;Georgia;GA;60;10.2;1.8;11.6;11.4;4.9
2017;april-june;Hawaii;HI;95.6;4;0;0;0.4;0
2017;april-june;Iowa;IA;35.7;25.1;6.8;24.2;7.4;0.8
2017;april-june;Idaho;ID;49.4;10.4;6.5;13.4;12.6;7.8
2017;april-june;Illinois;IL;42.8;16.3;2.7;11.4;21.2;5.7
2017;april-june;Indiana;IN;9;3.5;0.2;71.2;14.1;2
2017;april-june;Kansas;KS;30.2;14.9;1.2;39.5;3;11.2
2017;april-june;Kentucky;KY;49.4;22.3;1.9;8.7;8.3;9.4
2017;april-june;Louisiana;LA;77.1;10.3;0;5.3;5;2.3
2017;april-june;Massachusetts;MA;27.8;23.5;24.2;20.7;0.8;3
2017;april-june;Maryland;MD;22.8;47.6;5.5;2.1;14.5;7.6
2017;april-june;Maine;ME;13;12.7;12.1;12.7;5.9;43.7
2017;april-june;Michigan;MI;63.7;24;0.7;7;3;1.7
2017;april-june;Minnesota;MN;41.8;9.6;4.7;26.1;13.4;4.5
2017;april-june;Missouri;MO;40.2;26.7;9;3;15.3;5.7
2017;april-june;Mississippi;MS;66.4;4.3;0;8.1;17.5;3.8
2017;april-june;Montana;MT;54.5;10.9;11.4;9.5;12;1.6
2017;april-june;North Carolina;NC;60.6;14.2;6;2.1;13.2;3.9
2017;april-june;North Dakota;ND;63.7;8.7;7;11.5;7;2.2
2017;april-june;Nebraska;NE;34.8;26.7;0.7;26.1;11.1;0.6
2017;april-june;New Mexico;NM;44.6;0.3;36.8;0;18;0.3
2017;april-june;New Jersey;NY;66.3;17.3;7.1;5.9;0.9;2.5
2017;april-june;New York;NY;59.4;5.6;5.6;5.3;23.8;0.3
2017;april-june;Ohio;OH;51.6;7.3;7;11.8;18.8;3.4
2017;april-june;Oklahoma;OK;51.8;5;24.6;1.1;16.9;0.7
2017;april-june;Oregon;OR;42.7;12.2;10.1;4;18.1;13
2017;april-june;Pennsylvania;PA;65.5;4.9;3.4;7.3;11.7;7.3
2017;april-june;South Carolina;SC;28.9;25.8;18;22;4.9;0.5
2017;april-june;South Dakota;SD;33.3;5.4;3.8;24.5;19.2;13.8
2017;april-june;Tennessee;TN;54.8;26.2;1;3.2;10.9;4
2017;april-june;United States;TO;50.7;13.5;5.7;15.3;8.7;6.1
2017;april-june;Texas;TX;45.1;26.4;2.4;19.5;4.4;2.2
2017;april-june;Utah;UT;72;2.5;0.6;0.2;24.7;0
2017;april-june;Virginia;VA;38;36.6;1.8;10.2;3.7;9.8
2017;april-june;Vermont;VT;71.7;6.5;6.5;0;4.3;10.9
2017;april-june;Washington;WA;50.7;11.9;10;17.9;8.6;1
2017;april-june;Wisconsin;WI;60.3;7.4;7.4;9.6;14;1.3
2017;april-june;West Virginia;WV;56;7.7;8.7;1.9;17.9;7.7
2017;april-june;Wyoming;WY;56.3;5.8;20.8;4.6;9.4;3.1
2018;april-june;Arkansas;AK;42.7;19.2;1.1;3.4;13.7;20
2018;april-june;Alabama;AL;30.6;33.1;1.6;17;14.9;2.7
2018;april-june;Arizona;AZ;45.1;6.7;30.7;0.7;13.4;3.4
2018;april-june;California;CA;45.9;11.2;12.3;15.1;10;5.6
2018;april-june;Colorado;CO;66.6;0;20.4;5.8;6.7;0.6
2018;april-june;Connecticut;CT;77.1;6.3;2.8;5.6;5.6;2.8
2018;april-june;Florida;FL;34.9;21.4;7.5;12.1;7.8;16.3
2018;april-june;Georgia;GA;35.7;17.2;9.4;10;21.3;6.5
2018;april-june;Hawaii;HI;48;51.3;0.4;0;0.2;0.2
2018;april-june;Iowa;IA;32.2;23.5;2.3;20;21.3;0.8
2018;april-june;Idaho;ID;60.4;4.8;3.8;21.4;4.8;4.9
2018;april-june;Illinois;IL;29.2;16.7;14.2;14;20.9;5.1
2018;april-june;Indiana;IN;88;3.9;0.4;5;1.4;1.2
2018;april-june;Kansas;KS;41;30.3;1.2;23.9;2;1.5
2018;april-june;Kentucky;KY;51.4;31.6;0.9;1.6;5.4;9.1
2018;april-june;Louisiana;LA;46.3;33.7;1.1;4.6;6.9;7.4
2018;april-june;Massachusetts;MA;45;7.9;7.1;10.7;14.3;15
2018;april-june;Maryland;MD;55.9;16.1;3.8;1.4;20.9;1.9
2018;april-june;Maine;ME;33.3;19.3;3.5;31.6;10.5;1.8
2018;april-june;Michigan;MI;51.4;13.1;8.6;9.1;10.1;7.8
2018;april-june;Minnesota;MN;19.5;13.6;10.7;9;12.5;34.7
2018;april-june;Missouri;MO;30.9;34.6;2.1;3.9;21.7;6.8
2018;april-june;Mississippi;MS;58.5;31.8;0;0.3;6.7;2.8
2018;april-june;Montana;MT;80.2;8.3;5.4;2.5;1.9;1.6
2018;april-june;North Carolina;NC;31.7;8.5;1.6;7.8;47.7;2.6
2018;april-june;North Dakota;ND;49.5;15;9.6;9.4;7.8;8.6
2018;april-june;Nebraska;NE;20.1;2.1;2.1;16.5;38.7;20.6
2018;april-june;New Mexico;NM;15.8;5.3;15.8;0;10.5;52.6
2018;april-june;New Jersey;NY;70.5;14.1;0;0.4;14.5;0.4
2018;april-june;New York;NY;39.5;19.6;14.9;5.8;16.7;3.5
2018;april-june;Ohio;OH;39.9;31.7;1.7;2.8;22.3;1.6
2018;april-june;Oklahoma;OK;50.2;9.1;8;22.3;10.3;0.1
2018;april-june;Oregon;OR;57.5;4.4;10.2;8.3;19.4;0.3
2018;april-june;Pennsylvania;PA;56.6;29.3;4;3.8;2.9;3.4
2018;april-june;South Carolina;SC;43.7;10.4;2.1;4.9;30;8.9
2018;april-june;South Dakota;SD;36.4;28.8;5.3;2.7;26.9;0
2018;april-june;Tennessee;TN;44.1;33.7;4.4;5;9.1;3.7
2018;april-june;United States;TO;44.4;15.8;9.5;10.8;12;7.6
2018;april-june;Texas;TX;33.2;22.2;10.1;5.6;10.6;18.3
2018;april-june;Utah;UT;80.3;6.8;3.7;3.1;2.6;3.5
2018;april-june;Virginia;VA;32.3;26.7;4.5;1.7;32.7;2.1
2018;april-june;Vermont;VT;51.2;3.5;1.6;39.2;4.2;0.2
2018;april-june;Washington;WA;63.4;10.7;8.6;8.6;8;0.7
2018;april-june;Wisconsin;WI;26.6;13.1;14.4;21.6;23.6;0.7
2018;april-june;West Virginia;WV;29.6;16.1;1.9;6.2;29.2;17
2018;april-june;Wyoming;WY;48;0.4;10.5;10;12.7;18.3
2015;jan-march;Arkansas;AK;49;31.8;4.2;9.5;2.8;2.8
