Year;Season;State;State ISO;Total Annual Loss;Beekeepers;Beekeepers Exclusive to State;Colonies;Colonies Exclusive to State;Average loss per year
2011;Annual;Louisiana;LA;0.503;14;1;1830;1;0.351
2011;Annual;Maine;ME;0.491;73;0.945;33389;0.03;0.351
2011;Annual;Maryland;MD;0.373;190;0.984;1513;0.951;0.351
2011;Annual;Massachusetts;VR;0.478;121;0.95;26013;0.032;0.351
2011;Annual;Michigan;MI;0.221;106;0.972;9699;0.131;0.351
2011;Annual;Minnesota;MN;0.367;30;0.967;689;0.968;0.351
2011;Annual;Mississippi;MS;0.519;4;1;40;1;0.351
2011;Annual;Missouri;MO;0.265;54;0.963;841;0.6;0.351
2011;Annual;Montana;MT;0.188;15;0.667;22359;0.063;0.351
2011;Annual;Nebraska;NE;0.258;6;0.833;15531;0.001;0.351
2011;Annual;Nevada;NV;0.329;8;0.875;1703;0.035;0.351
2011;Annual;New Hampshire;NH;0.347;33;0.879;375;0.65;0.351
2011;Annual;New Jersey;NJ;0.255;46;0.87;847;0.837;0.351
2011;Annual;New Mexico;NM;0.376;10;1;218;1;0.351
2011;Annual;New York;NY;0.438;113;0.912;11972;0.189;0.351
2011;Annual;North Carolina;NC;0.325;248;0.976;2510;0.959;0.351
2011;Annual;North Dakota;ND;0.277;9;0.111;49950;0.055;0.351
2011;Annual;Ohio;OH;0.358;138;0.971;4590;0.555;0.351
2011;Annual;Oklahoma;OK;0.365;17;1;156;1;0.351
2011;Annual;Oregon;OR;0.195;76;0.895;28552;0.148;0.351
2011;Annual;Pennsylvania;PA;0.479;376;0.957;12633;0.427;0.351
2011;Annual;Rhode Island;RI;0.186;18;1;86;1;0.351
2011;Annual;South Carolina;SC;0.284;60;0.95;1744;0.383;0.351
2011;Annual;South Dakota;SD;0.541;2;1;41;1;0.351
2011;Annual;Tennessee;TN;0.267;69;0.928;1192;0.828;0.351
2011;Annual;Texas;TX;0.265;25;0.92;16189;0.048;0.351
2011;Annual;Utah;UT;0.302;47;0.979;5874;0.064;0.351
2011;Annual;Vermont;VT;0.171;45;0.911;1599;0.19;0.351
2011;Annual;Virginia;VA;0.265;294;0.983;2683;0.969;0.351
2011;Annual;Washington;WA;0.229;71;0.915;44554;0.026;0.351
2011;Annual;West Virginia;WV;0.427;31;0.903;555;0.517;0.351
2011;Annual;Wisconsin;WI;0.355;71;0.958;967;0.959;0.351
2011;Annual;Wyoming;WY;0.405;4;1;4172;1;0.351
2011;;Total;TOTAL;0.351;;;;;
2012;Annual;Alabama;AL;0.551;36;0.944;777;0.637;0.437
2012;Annual;Arizona;AZ;0.214;9;0.889;2289;0.011;0.437
2012;Annual;Arkansas;AR;0.281;37;0.973;2381;0.962;0.437
2012;Annual;California;CA;0.458;212;0.642;625897;0.115;0.437
2012;Annual;Colorado;CO;0.513;165;0.976;1414;0.825;0.437
2012;Annual;Connecticut;CT;0.576;57;0.912;1101;0.683;0.437
2012;Annual;Delaware;DE;0.482;23;0.826;24893;0.01;0.437
2012;Annual;District of Columbia;DC;0.735;10;0.7;509;0.087;0.437
2012;Annual;Florida;FL;0.42;95;0.79;84768;0.103;0.437
2012;Annual;Georgia;GA;0.49;70;0.857;14700;0.091;0.437
2012;Annual;Hawaii;HI;0.075;41;0.976;10027;0.937;0.437
2012;Annual;Idaho;ID;0.362;30;0.5;91535;0.018;0.437
2012;Annual;Illinois;IL;0.289;131;0.97;5026;0.186;0.437
2012;Annual;Indiana;IN;0.271;108;0.963;4087;0.268;0.437
2012;Annual;Iowa;IA;0.35;44;0.909;6882;0.338;0.437
2012;Annual;Kansas;KS;0.416;39;0.872;2535;0.227;0.437
2012;Annual;Kentucky;KY;0.44;46;0.935;697;0.912;0.437
2012;Annual;Louisiana;LA;0.412;13;1;835;1;0.437
2012;Annual;Maine;ME;0.399;101;0.941;81087;0.013;0.437
2012;Annual;Maryland;MD;0.494;181;0.95;26722;0.07;0.437
2012;Annual;Massachusetts;WO;0.344;151;0.973;24961;0.035;0.437
2012;Annual;Michigan;MI;0.415;205;0.966;39903;0.098;0.437
2012;Annual;Minnesota;MN;0.575;74;0.838;72320;0.214;0.437
2012;Annual;Mississippi;MS;0.602;26;0.808;156746;0.007;0.437
2012;Annual;Missouri;MO;0.334;74;0.973;1243;0.674;0.437
2012;Annual;Montana;MT;0.303;25;0.6;35214;0.002;0.437
2012;Annual;Nebraska;NE;0.622;13;0.692;127087;0.002;0.437
2012;Annual;Nevada;NV;0.34;4;0.5;2556;0.003;0.437
2012;Annual;New Hampshire;NH;0.365;57;1;734;1;0.437
2012;Annual;New Jersey;NJ;0.399;61;0.902;47013;0.009;0.437
2012;Annual;New Mexico;NM;0.606;9;0.889;71;0.905;0.437
2012;Annual;New York;NY;0.415;176;0.915;71614;0.073;0.437
2012;Annual;North Carolina;NC;0.468;275;0.967;5812;0.67;0.437
2012;Annual;North Dakota;ND;0.422;34;0.088;289596;0;0.437
2012;Annual;Ohio;OH;0.473;182;0.989;24995;0.125;0.437
2012;Annual;Oklahoma;OK;0.654;29;0.931;8366;0.088;0.437
2012;Annual;Oregon;OR;0.363;120;0.917;23061;0.423;0.437
2012;Annual;Pennsylvania;PA;0.459;349;0.957;46365;0.12;0.437
2012;Annual;Rhode Island;RI;0.375;15;0.733;192;0.79;0.437
2012;Annual;South Carolina;SC;0.259;66;0.97;4799;0.125;0.437
2012;Annual;South Dakota;SD;0.633;5;0.4;127801;0;0.437
2012;Annual;Tennessee;TN;0.514;55;0.909;1357;0.566;0.437
2012;Annual;Texas;TX;0.508;53;0.755;112502;0.006;0.437
2012;Annual;Utah;UT;0.502;45;0.844;15720;0.03;0.437
2012;Annual;Vermont;VT;0.299;39;0.897;4189;0.45;0.437
2012;Annual;Virginia;VA;0.48;467;0.976;29167;0.185;0.437
2012;Annual;Washington;WA;0.434;107;0.897;79935;0.014;0.437
2012;Annual;West Virginia;WV;0.558;60;0.933;2736;0.191;0.437
2012;Annual;Wisconsin;WI;0.437;127;0.929;36124;0.136;0.437
2012;Annual;Wyoming;WY;0.464;13;0.539;19318;0.007;0.437
2012;;Total;TOTAL;0.437;;;;;
2013;Annual;Alabama;AL;0.443;33;0.939;1083;0.386;0.404
2013;Annual;Arizona;AZ;0.485;5;0.8;458;0.97;0.404
2013;Annual;Arkansas;AR;0.294;56;0.929;10852;0.06;0.404
2013;Annual;California;CA;0.317;253;0.656;450107;0.043;0.404
2013;Annual;Colorado;CO;0.271;174;0.977;77674;0.014;0.404
2013;Annual;Connecticut;CT;0.816;65;0.908;1531;0.182;0.404
2013;Annual;Delaware;DE;0.429;21;0.762;21140;0.005;0.404
2013;Annual;District of Columbia;DC;0.857;6;0.667;377;0.146;0.404
2013;Annual;Florida;FL;0.36;150;0.807;83120;0.065;0.404
2013;Annual;Georgia;GA;0.445;92;0.87;19468;0.12;0.404
2013;Annual;Hawaii;HI;0.249;67;0.985;16970;0.534;0.404
2013;Annual;Idaho;ID;0.278;34;0.559;113406;0.074;0.404
2013;Annual;Illinois;IL;0.631;125;0.968;2465;0.68;0.404
2013;Annual;Indiana;IN;0.409;174;0.96;4712;0.423;0.404
2013;Annual;Iowa;IA;0.705;55;0.964;2006;0.885;0.404
2013;Annual;Kansas;KS;0.501;38;0.974;627;0.74;0.404
2013;Annual;Kentucky;KY;0.449;94;0.957;1537;0.743;0.404
2013;Annual;Louisiana;LA;0.303;20;0.95;11549;0.292;0.404
2013;Annual;Maine;ME;0.412;140;0.957;44447;0.023;0.404
2013;Annual;Maryland;MD;0.438;148;0.919;23241;0.081;0.404
2013;Annual;Massachusetts;DI;0.257;145;0.952;9387;0.181;0.404
2013;Annual;Michigan;MI;0.417;332;0.964;31420;0.126;0.404
2013;Annual;Minnesota;MN;0.301;93;0.86;121915;0.018;0.404
2013;Annual;Mississippi;MS;0.379;23;0.652;134891;0.002;0.404
2013;Annual;Missouri;MO;0.415;78;0.987;1396;0.892;0.404
2013;Annual;Montana;MT;0.216;23;0.696;33093;0.002;0.404
2013;Annual;Nebraska;NE;0.265;11;0.727;88509;0.001;0.404
2013;Annual;Nevada;NV;0.351;12;0.75;717;0.083;0.404
2013;Annual;New Hampshire;NH;0.604;58;0.948;318;0.886;0.404
2013;Annual;New Jersey;NJ;0.398;165;0.964;27002;0.051;0.404
2013;Annual;New Mexico;NM;0.325;18;1;123;1;0.404
2013;Annual;New York;NY;0.456;162;0.938;36335;0.103;0.404
2013;Annual;North Carolina;NC;0.277;241;0.938;81356;0.034;0.404
2013;Annual;North Dakota;ND;0.374;26;0.039;194926;0;0.404
2013;Annual;Ohio;OH;0.458;407;0.975;24858;0.133;0.404
2013;Annual;Oklahoma;OK;0.426;26;0.962;9024;0.025;0.404
2013;Annual;Oregon;OR;0.325;173;0.919;51415;0.016;0.404
2013;Annual;Pennsylvania;PA;0.458;828;0.98;38599;0.207;0.404
2013;Annual;Rhode Island;RI;0.374;22;0.727;214;0.529;0.404
2013;Annual;South Carolina;SC;0.345;140;0.964;3122;0.487;0.404
2013;Annual;South Dakota;SD;0.304;14;0.5;95243;0;0.404
2013;Annual;Tennessee;TN;0.414;91;0.945;1808;0.544;0.404
2013;Annual;Texas;TX;0.357;78;0.756;187311;0.023;0.404
2013;Annual;Utah;UT;0.286;51;0.823;9228;0.039;0.404
2013;Annual;Vermont;VT;0.538;82;0.951;1996;0.982;0.404
2013;Annual;Virginia;VA;0.424;637;0.981;27303;0.235;0.404
2013;Annual;Washington;WA;0.354;119;0.891;70806;0.016;0.404
2013;Annual;West Virginia;WV;0.448;65;0.908;1178;0.634;0.404
2013;Annual;Wisconsin;WI;0.339;136;0.86;58053;0.034;0.404
2013;Annual;Wyoming;WY;0.201;10;0.4;22954;0.001;0.404
2013;;Total;TOTAL;0.404;;;;;
2014;Annual;Alabama;AL;0.48;28;0.964;504;0.985;0.45
2014;Annual;Arizona;AZ;0.588;9;0.889;1156;0.623;0.45
2014;Annual;Arkansas;AR;0.483;96;0.938;3428;0.759;0.45
2014;Annual;California;CA;0.382;183;0.634;423823;0.125;0.45
2014;Annual;Colorado;CO;0.38;178;0.978;84676;0.014;0.45
2014;Annual;Connecticut;CT;0.573;56;0.946;646;0.659;0.45
2014;Annual;Delaware;DE;0.61;16;0.625;46466;0.002;0.45
2014;Annual;District of Columbia;DC;0.57;3;0.667;360;0.073;0.45
2014;Annual;Florida;FL;0.553;93;0.86;61246;0.08;0.45
2014;Annual;Georgia;GA;0.349;74;0.865;5923;0.274;0.45
2014;Annual;Hawaii;HI;0.139;28;1;12093;1;0.45
2014;Annual;Idaho;ID;0.276;48;0.708;94547;0.002;0.45
2014;Annual;Illinois;IL;0.624;102;0.971;1317;0.569;0.45
2014;Annual;Indiana;IN;0.485;92;0.967;781;0.968;0.45
2014;Annual;Iowa;IA;0.614;36;0.944;1206;0.631;0.45
2014;Annual;Kansas;KS;0.424;39;0.974;1246;0.851;0.45
2014;Annual;Kentucky;KY;0.479;59;0.983;804;0.748;0.45
2014;Annual;Louisiana;LA;0.443;18;0.833;4335;0.122;0.45
2014;Annual;Maine;ME;0.605;103;0.961;46971;0.023;0.45
2014;Annual;Maryland;MD;0.609;126;0.944;24579;0.048;0.45
2014;Annual;Massachusetts;DO;0.461;150;0.98;1479;0.78;0.45
2014;Annual;Michigan;MI;0.318;210;0.981;11192;0.929;0.45
2014;Annual;Minnesota;MN;0.506;77;0.805;137066;0.004;0.45
2014;Annual;Mississippi;MS;0.387;11;0.818;20681;0.012;0.45
2014;Annual;Missouri;MO;0.348;94;0.968;1839;0.97;0.45
2014;Annual;Montana;MT;0.401;26;0.731;37022;0.061;0.45
2014;Annual;Nebraska;NE;0.373;12;0.75;95755;0.001;0.45
2014;Annual;Nevada;NV;0.267;7;0.714;1853;0.019;0.45
2014;Annual;New Hampshire;NH;0.394;42;0.929;470;0.637;0.45
2014;Annual;New Jersey;NJ;0.482;93;0.957;853;0.848;0.45
2014;Annual;New Mexico;NM;0.461;21;0.952;2037;0.054;0.45
2014;Annual;New York;NY;0.542;146;0.938;55882;0.088;0.45
2014;Annual;North Carolina;NC;0.416;254;0.972;2700;0.976;0.45
2014;Annual;North Dakota;ND;0.377;30;0.067;256234;0;0.45
2014;Annual;Ohio;OH;0.591;270;0.974;3856;0.712;0.45
2014;Annual;Oklahoma;OK;0.634;36;0.889;18277;0.03;0.45
2014;Annual;Oregon;OR;0.252;142;0.944;44306;0.293;0.45
2014;Annual;Pennsylvania;PA;0.611;674;0.987;53106;0.155;0.45
2014;Annual;Rhode Island;RI;0.479;22;0.727;401;0.368;0.45
2014;Annual;South Carolina;SC;0.262;71;0.887;2853;0.203;0.45
2014;Annual;South Dakota;SD;0.361;15;0.467;100410;0;0.45
2014;Annual;Tennessee;TN;0.363;73;0.959;1691;0.741;0.45
2014;Annual;Texas;TX;0.463;139;0.856;183028;0.032;0.45
2014;Annual;Utah;UT;0.336;41;0.829;20822;0.011;0.45
2014;Annual;Vermont;VT;0.341;50;0.92;731;0.722;0.45
2014;Annual;Virginia;VA;0.461;590;0.985;4645;0.981;0.45
2014;Annual;Washington;WA;0.393;128;0.914;148277;0.007;0.45
2014;Annual;West Virginia;WV;0.609;47;0.872;751;0.4;0.45
2014;Annual;Wisconsin;WI;0.602;124;0.927;51505;0.079;0.45
2014;Annual;Wyoming;WY;0.325;11;0.636;18200;0.002;0.45
2014;;Total;TOTAL;0.45;;;;;
2015;Annual;Alabama;AL;0.284;43;0.977;538;0.964;0.424
2015;Annual;Arizona;AZ;0.405;6;1;37;1;0.424
2015;Annual;Arkansas;AR;0.505;36;0.917;2020;0.204;0.424
2015;Annual;California;CA;0.397;182;0.632;485133;0.063;0.424
2015;Annual;Colorado;CO;0.278;130;0.969;3396;0.192;0.424
2015;Annual;Connecticut;CT;0.444;66;0.939;865;0.963;0.424
2015;Annual;Delaware;DE;0.602;21;0.762;25674;0.006;0.424
2015;Annual;District of Columbia;DC;0.284;6;0.667;127;0.119;0.424
2015;Annual;Florida;FL;0.569;58;0.897;51627;0.185;0.424
2015;Annual;Georgia;GA;0.414;65;0.923;3034;0.306;0.424
2015;Annual;Hawaii;HI;0.382;45;0.978;3656;0.998;0.424
2015;Annual;Idaho;ID;0.382;45;0.622;141902;0.012;0.424
2015;Annual;Illinois;IL;0.462;127;0.968;1318;0.974;0.424
2015;Annual;Indiana;IN;0.395;152;0.987;1707;0.985;0.424
2015;Annual;Iowa;IA;0.588;48;0.958;1256;0.64;0.424
2015;Annual;Kansas;KS;0.567;32;0.969;8737;0.128;0.424
2015;Annual;Kentucky;KY;0.345;71;0.986;829;0.997;0.424
2015;Annual;Louisiana;LA;0.147;21;1;695;1;0.424
2015;Annual;Maine;ME;0.366;81;0.963;54707;0.013;0.424
2015;Annual;Maryland;MD;0.561;128;0.93;30617;0.097;0.424
2015;Annual;Massachusetts;ZA;0.558;113;0.956;1304;0.968;0.424
2015;Annual;Michigan;MI;0.46;195;0.985;6572;0.308;0.424
2015;Annual;Minnesota;MN;0.493;109;0.89;53969;0.06;0.424
2015;Annual;Mississippi;MS;0.713;12;0.667;22399;0.003;0.424
2015;Annual;Missouri;MO;0.332;120;0.983;993;0.972;0.424
2015;Annual;Montana;MT;0.189;17;0.353;46949;0.002;0.424
2015;Annual;Nebraska;NE;0.4;16;0.813;42030;0.005;0.424
2015;Annual;Nevada;NV;0.401;5;0.8;3029;0.006;0.424
2015;Annual;New Hampshire;NH;0.361;48;0.896;305;0.859;0.424
2015;Annual;New Jersey;NJ;0.536;112;0.902;9220;0.112;0.424
2015;Annual;New Mexico;NM;0.54;17;0.882;148;0.922;0.424
2015;Annual;New York;NY;0.467;145;0.924;39981;0.069;0.424
2015;Annual;North Carolina;NC;0.38;246;0.972;10635;0.221;0.424
2015;Annual;North Dakota;ND;0.425;26;0.115;284204;0;0.424
2015;Annual;Ohio;OH;0.431;236;0.975;2797;0.962;0.424
2015;Annual;Oklahoma;OK;0.578;38;0.974;7307;0.244;0.424
2015;Annual;Oregon;OR;0.386;132;0.909;42656;0.221;0.424
2015;Annual;Pennsylvania;PA;0.573;599;0.983;29963;0.192;0.424
2015;Annual;Rhode Island;RI;0.245;19;0.842;94;0.764;0.424
2015;Annual;South Carolina;SC;0.336;97;0.969;2510;0.298;0.424
2015;Annual;South Dakota;SD;0.442;13;0.385;92609;0.001;0.424
2015;Annual;Tennessee;TN;0.274;98;0.969;1247;0.92;0.424
2015;Annual;Texas;TX;0.458;95;0.8;187895;0.013;0.424
2015;Annual;Utah;UT;0.594;38;0.868;15873;0.028;0.424
2015;Annual;Vermont;VT;0.155;48;0.875;2374;0.487;0.424
2015;Annual;Virginia;VA;0.414;553;0.978;4163;0.872;0.424
2015;Annual;Washington;WA;0.317;118;0.932;38574;0.028;0.424
2015;Annual;West Virginia;WV;0.498;55;0.909;1433;0.463;0.424
2015;Annual;Wisconsin;WI;0.508;121;0.95;39422;0.192;0.424
2015;Annual;Wyoming;WY;0.383;26;0.692;26403;0.019;0.424
2015;;Total;TOTAL;0.424;;;;;
2016;Annual;Alabama;AL;0.349;38;0.974;573;0.975;0.417
2016;Annual;Arizona;AZ;0.65;10;0.8;528;0.244;0.417
2016;Annual;Arkansas;AR;0.397;32;0.906;3183;0.153;0.417
2016;Annual;California;CA;0.305;163;0.632;383369;0.201;0.417
2016;Annual;Colorado;CO;0.483;90;0.956;669;0.951;0.417
2016;Annual;Connecticut;CT;0.618;34;1;427;1;0.417
2016;Annual;Delaware;DE;0.74;38;0.868;462;0.842;0.417
2016;Annual;District of Columbia;DC;0.387;20;0.9;106;0.809;0.417
2016;Annual;Florida;FL;0.292;62;0.823;95872;0.042;0.417
2016;Annual;Georgia;GA;0.305;81;0.877;38443;0.082;0.417
2016;Annual;Hawaii;HI;0.262;10;1;84;1;0.417
2016;Annual;Idaho;ID;0.273;30;0.833;76794;0.019;0.417
2016;Annual;Illinois;IL;0.59;94;0.979;906;0.996;0.417
2016;Annual;Indiana;IN;0.414;99;1;952;1;0.417
2016;Annual;Iowa;IA;0.686;71;0.986;1074;0.99;0.417
2016;Annual;Kansas;KS;0.477;16;0.938;23181;0.009;0.417
2016;Annual;Kentucky;KY;0.405;50;0.94;3603;0.278;0.417
2016;Annual;Louisiana;LA;0.361;18;0.889;5970;0.112;0.417
2016;Annual;Maine;ME;0.233;65;0.938;41102;0.014;0.417
2016;Annual;Maryland;MD;0.55;127;0.905;5582;0.325;0.417
2016;Annual;Massachusetts;MA;0.159;87;0.943;27186;0.023;0.417
2016;Annual;Michigan;MI;0.326;138;0.964;14949;0.123;0.417
2016;Annual;Minnesota;MN;0.494;79;0.873;27486;0.069;0.417
2016;Annual;Mississippi;MS;0.263;9;0.222;17802;0.002;0.417
2016;Annual;Missouri;MO;0.336;88;0.966;1177;0.936;0.417
2016;Annual;Montana;MT;0.171;21;0.524;35905;0.003;0.417
2016;Annual;Nebraska;NE;0.721;15;0.933;355;0.833;0.417
2016;Annual;Nevada;NV;0.23;13;0.923;2512;0.052;0.417
2016;Annual;New Hampshire;NH;0.604;49;0.939;757;0.499;0.417
2016;Annual;New Jersey;NJ;0.414;74;0.932;4143;0.152;0.417
2016;Annual;New Mexico;NM;0.354;19;0.947;359;0.298;0.417
2016;Annual;New York;NY;0.438;143;0.923;29782;0.141;0.417
2016;Annual;North Carolina;NC;0.299;206;0.956;7246;0.213;0.417
2016;Annual;North Dakota;ND;0.378;17;0.118;163861;0;0.417
2016;Annual;Ohio;OH;0.39;233;0.978;2717;0.895;0.417
2016;Annual;Oklahoma;OK;0.839;29;0.965;9513;0.193;0.417
2016;Annual;Oregon;OR;0.324;137;0.934;35433;0.024;0.417
2016;Annual;Pennsylvania;PA;0.516;581;0.976;15517;0.403;0.417
2016;Annual;Rhode Island;RI;0.447;15;0.8;76;0.571;0.417
2016;Annual;South Carolina;SC;0.538;53;0.943;6246;0.142;0.417
2016;Annual;South Dakota;SD;0.322;12;0.5;29626;0.004;0.417
2016;Annual;Tennessee;TN;0.49;57;1;1199;1;0.417
2016;Annual;Texas;TX;0.349;136;0.927;60699;0.09;0.417
2016;Annual;Utah;UT;0.532;167;0.97;3302;0.363;0.417
2016;Annual;Vermont;VT;0.485;43;0.93;2050;0.834;0.417
2016;Annual;Virginia;VA;0.441;371;0.97;3263;0.948;0.417
2016;Annual;Washington;WA;0.397;89;0.899;85387;0.01;0.417
2016;Annual;West Virginia;WV;0.266;52;0.942;993;0.798;0.417
2016;Annual;Wisconsin;WI;0.294;99;0.939;15800;0.101;0.417
2016;Annual;Wyoming;WY;0.234;18;0.778;6521;0.014;0.417
2016;;Total;TOTAL;0.417;;;;;
