Program;Year;Period;Week Ending;Geo Level;State;State ANSI;Ag District;Ag District Code;County;County ANSI;Zip Code;Region;watershed_code;Watershed;Commodity;Data Item;Domain;Domain Category;Value;CV (%)
SURVEY;2016;YEAR;;STATE;COLORADO;8;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED; (NA);
SURVEY;2016;YEAR;;STATE;CONNECTICUT;9;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED;1,8;
SURVEY;2016;YEAR;;STATE;CONNECTICUT;9;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;12,900,000;
SURVEY;2016;YEAR;;STATE;CONNECTICUT;9;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;7,17;
SURVEY;2016;YEAR;;STATE;IDAHO;16;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED;2,2;
SURVEY;2016;YEAR;;STATE;IDAHO;16;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;55,200,000;
SURVEY;2016;YEAR;;STATE;IDAHO;16;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;25,1;
SURVEY;2016;YEAR;;STATE;ILLINOIS;17;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED;1,7;
SURVEY;2016;YEAR;;STATE;ILLINOIS;17;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;18,700,000;
SURVEY;2016;YEAR;;STATE;ILLINOIS;17;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;11;
SURVEY;2016;YEAR;;STATE;INDIANA;18;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED; (NA);
SURVEY;2016;YEAR;;STATE;INDIANA;18;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED; (NA);
SURVEY;2016;YEAR;;STATE;INDIANA;18;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED; (NA);
SURVEY;2016;YEAR;;STATE;IOWA;19;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED; (NA);
SURVEY;2016;YEAR;;STATE;IOWA;19;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED; (NA);
SURVEY;2016;YEAR;;STATE;IOWA;19;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED; (NA);
SURVEY;2016;YEAR;;STATE;MAINE;23;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED;2,7;
SURVEY;2016;YEAR;;STATE;MAINE;23;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;33,900,000;
SURVEY;2016;YEAR;;STATE;MAINE;23;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;12,6;
SURVEY;2016;YEAR;;STATE;MARYLAND;24;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED;1,8;
SURVEY;2016;YEAR;;STATE;MARYLAND;24;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;40,600,000;
SURVEY;2016;YEAR;;STATE;MARYLAND;24;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;22,6;
SURVEY;2016;YEAR;;STATE;MASSACHUSETTS;25;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED;3,1;
SURVEY;2016;YEAR;;STATE;MASSACHUSETTS;25;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;31,000,000;
SURVEY;2016;YEAR;;STATE;MASSACHUSETTS;25;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;10;
SURVEY;2016;YEAR;;STATE;MICHIGAN;26;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED;33;
SURVEY;2016;YEAR;;STATE;MICHIGAN;26;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;1,275,000,000;
SURVEY;2016;YEAR;;STATE;MICHIGAN;26;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;38,6;
SURVEY;2016;YEAR;;STATE;MINNESOTA;27;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED;2,9;
SURVEY;2016;YEAR;;STATE;MINNESOTA;27;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;21,500,000;
SURVEY;2016;YEAR;;STATE;MINNESOTA;27;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;7,41;
SURVEY;2016;YEAR;;STATE;MISSOURI;29;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED; (NA);
SURVEY;2016;YEAR;;STATE;MISSOURI;29;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED; (NA);
SURVEY;2016;YEAR;;STATE;MISSOURI;29;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED; (NA);
SURVEY;2016;YEAR;;STATE;NEW JERSEY;34;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED;2,2;
SURVEY;2016;YEAR;;STATE;NEW JERSEY;34;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;31,900,000;
SURVEY;2016;YEAR;;STATE;NEW JERSEY;34;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;14,5;
SURVEY;2016;YEAR;;STATE;NEW YORK;36;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED;43;
SURVEY;2016;YEAR;;STATE;NEW YORK;36;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;1,250,000,000;
SURVEY;2016;YEAR;;STATE;NEW YORK;36;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;29,1;
SURVEY;2016;YEAR;;STATE;NORTH CAROLINA;37;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED;5,6;
SURVEY;2016;YEAR;;STATE;NORTH CAROLINA;37;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;114,000,000;
SURVEY;2016;YEAR;;STATE;NORTH CAROLINA;37;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;20,4;
SURVEY;2016;YEAR;;STATE;OHIO;39;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED;4;
SURVEY;2016;YEAR;;STATE;OHIO;39;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;41,900,000;
SURVEY;2016;YEAR;;STATE;OHIO;39;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;10,5;
SURVEY;2016;YEAR;;STATE;OREGON;41;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED;5;
SURVEY;2016;YEAR;;STATE;OREGON;41;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;195,400,000;
SURVEY;2016;YEAR;;STATE;OREGON;41;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;39,1;
SURVEY;2016;YEAR;;STATE;OTHER STATES;;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED; (X);
SURVEY;2016;YEAR;;STATE;PENNSYLVANIA;42;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED;20;
SURVEY;2016;YEAR;;STATE;PENNSYLVANIA;42;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;467,000,000;
SURVEY;2016;YEAR;;STATE;PENNSYLVANIA;42;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;23,4;
SURVEY;2016;YEAR;;STATE;TENNESSEE;47;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED; (NA);
SURVEY;2016;YEAR;;STATE;TENNESSEE;47;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED; (NA);
SURVEY;2016;YEAR;;STATE;TENNESSEE;47;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED; (NA);
SURVEY;2016;YEAR;;STATE;UTAH;49;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED; (NA);
SURVEY;2016;YEAR;;STATE;UTAH;49;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED; (NA);
SURVEY;2016;YEAR;;STATE;UTAH;49;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED; (NA);
SURVEY;2016;YEAR;;STATE;VERMONT;50;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED;1,9;
SURVEY;2016;YEAR;;STATE;VERMONT;50;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;30,000,000;
SURVEY;2016;YEAR;;STATE;VERMONT;50;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;15,8;
SURVEY;2016;YEAR;;STATE;VIRGINIA;51;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED;10,3;
SURVEY;2016;YEAR;;STATE;VIRGINIA;51;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;180,000,000;
SURVEY;2016;YEAR;;STATE;VIRGINIA;51;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;17,5;
SURVEY;2016;YEAR;;STATE;WASHINGTON;53;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED;165;
SURVEY;2016;YEAR;;STATE;WASHINGTON;53;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;7,320,000,000;
SURVEY;2016;YEAR;;STATE;WASHINGTON;53;;;;;;;0;;APPLES;APPLES - YIELD, MEASURED IN LB / ACRE;TOTAL;NOT SPECIFIED;44,4;
SURVEY;2016;YEAR;;STATE;WEST VIRGINIA;54;;;;;;;0;;APPLES;APPLES - ACRES BEARING;TOTAL;NOT SPECIFIED;4,6;
SURVEY;2016;YEAR;;STATE;WEST VIRGINIA;54;;;;;;;0;;APPLES;APPLES - PRODUCTION, MEASURED IN LB;TOTAL;NOT SPECIFIED;80,000,000;
