Year;Period;State;State ISO;Varroa mites;Other pests and parasites;Diseases ;Pesticides;Other*;Unknown
2017;oct-dec;Florida;FL;37.7;15.3;6.8;9.5;6.9;23.8
2017;oct-dec;Georgia;GA;52.7;14;11.4;14.2;3.3;4.3
2017;oct-dec;Hawaii;HI;46.3;53.5;0.1;0;0.1;0
2017;oct-dec;Iowa;IA;39.4;16.5;7.9;21.1;11.6;3.6
2017;oct-dec;Idaho;ID;39.8;19.8;20.7;17.4;2;0.2
2017;oct-dec;Illinois;IL;50.2;17.7;1.4;13.7;8.5;8.5
2017;oct-dec;Indiana;IN;54.1;12.9;3.9;1.6;9;18.4
2017;oct-dec;Kansas;KS;37.1;15.9;6.8;17.8;1.2;21.1
2017;oct-dec;Kentucky;KY;49.2;22.1;0.5;5.9;5.1;17.3
2017;oct-dec;Louisiana;LA;44.1;37.2;0.4;0.8;2.9;14.5
2017;oct-dec;Massachusetts;MA;51.6;4.7;26.2;10.5;5.9;1.2
2017;oct-dec;Maryland;MD;36.1;14.2;0.9;5;8.2;35.6
2017;oct-dec;Maine;ME;77.6;19.3;1.2;0;1.9;0
2017;oct-dec;Michigan;MI;53.9;13.6;5.3;23.6;1.5;2
2017;oct-dec;Minnesota;MN;51.9;3.3;3.5;32.8;5.9;2.6
2017;oct-dec;Missouri;MO;44.2;37.6;2.6;0.3;11.1;4.2
2017;oct-dec;Mississippi;MS;56.9;18;4.1;4.4;4.4;12.1
2017;oct-dec;Montana;MT;70.7;5.3;4;7.7;6.9;5.3
2017;oct-dec;North Carolina;NC;61.6;15.6;3.7;1.4;11.2;6.4
2017;oct-dec;North Dakota;ND;69.4;27.5;0.3;0.8;1.5;0.5
2017;oct-dec;Nebraska;NE;51.3;6.4;7.9;4;8.3;22.2
2017;oct-dec;New Mexico;NM;79.9;0.3;0;9.6;9.3;0.9
2017;oct-dec;New Jersey;NY;50;18;11.6;11.6;8.7;0
2017;oct-dec;New York;NY;43.4;24.7;15.6;10.5;0.8;5.1
2017;oct-dec;Ohio;OH;48.5;24.9;7.6;6.9;9;3.1
2017;oct-dec;Oklahoma;OK;58.8;29.4;0;0;0;11.8
2017;oct-dec;Oregon;OR;41.5;19.1;23;11.7;3.2;1.5
2017;oct-dec;Pennsylvania;PA;70.7;8.5;1.6;10.9;4.6;3.6
2017;oct-dec;South Carolina;SC;45.4;27.9;21;0.3;2.7;2.7
2017;oct-dec;South Dakota;SD;47.9;0.3;11.4;12.2;20.8;7.5
2017;oct-dec;Tennessee;TN;34.2;28.3;0.3;3;11.2;22.9
2017;oct-dec;United States;TO;47.1;16.1;8;12.8;9.5;6.5
2017;oct-dec;Texas;TX;45.6;28.8;9.6;3.9;5.1;7
2017;oct-dec;Utah;UT;29.4;10.8;13.3;11.1;11.4;24
2017;oct-dec;Virginia;VA;34.2;33.7;2.1;12.3;11.3;6.4
2017;oct-dec;Vermont;VT;42.8;19.7;9.8;24.4;2.5;0.8
2017;oct-dec;Washington;WA;75.9;21;0;1;1.4;0.7
2017;oct-dec;Wisconsin;WI;30.1;20.9;18.8;12.9;8.7;8.6
2017;oct-dec;West Virginia;WV;75.8;6.7;3;0.1;9.8;4.5
2017;oct-dec;Wyoming;WY;59.9;3.8;13.2;9.3;12.8;0.9
